IR Score,IF Score
0.48700109849871837,0.5105319528739737
0.05263157894736842,0.07810571204129728
0,0.008474576271186439
0.04083845319840983,0.027011689933038246
0.03810455452255694,0.01779848210240145
0.012820512820512822,0.006329113924050633
0,0
0.0055248618784530384,0
0.047739353780708725,0.04799611617137258
0.023259791345989395,0.017804154302670624
0,0
0.028835781262965727,0.02810674915079483
0.02739384883576142,0.033362218370883885
0.027321270883585307,0.02752206510391952
0.010169491525423728,0.015016954626190862
0,0.0096051227321238
0.010220673635307782,0.009943502824858758
0.014180796696788168,0.009785472337222432
0,0.014354066985645933
0.024523438295738564,0.014211674210267115
0.024014975117563803,0.03855421686746988
0.022447422905088804,0.012865819988956376
0.008984277514349888,0.013773106197897787
0.008778346744696417,0.00898876404494382
0.02144138095799727,0.026447980187378796
0.020819341840161182,0.007669616519174041
0.007753303964757709,0.003738317757009346
0.0036429872495446266,0
0.01968514761111386,0.011847065158858373
0.01183281379222597,0.01172835613847027
0.007669131744727472,0.007885102787947056
0.0037735849056603774,0.0077669902912621365
0.0077170418006430866,0.007736943907156673
0.0038461538461538464,0.00721442885771543
0.018583678985878736,0.01440271427126984
0.010940794347256253,0.010968921389396709
0.011009174311926604,0.01094420600858369
0.0031152647975077885,0.00326797385620915
0.007164179104477613,0.010736407432897454
0.0034722222222222225,0
0.016571963860916295,0.016600594648166503
0.0031545741324921135,0.009753114236971706
0,0
0.009695753928452023,0.0033112582781456954
0,0
0.002976190476190476,0.00606060606060606
0,0
0.005817335660267597,0
0.005742683600220872,0.00272108843537415
0.0120831881027071,0.006049403461603093
